,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
9795,SMC Real Estate Advisors,2.9,Real Estate,Pune,11,"Promotions / Appraisal, Job Security, Skill Development / Learning",,107,385,4,3,6
9796,J&K Bank,4.0,Banking,Srinagar,25,"Job Security, Salary & Benefits",Promotions / Appraisal,107,304,4,--,13
9797,SP Software,3.9,IT Services & Consulting,Hyderabad / Secunderabad,4,"Work Life Balance, Job Security, Company Culture",,107,823,10,23,10
9798,Vinsys IT Services India Limited,3.4,Education & Training,Pune,6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,107,627,11,13,5
9799,Intello Labs Pvt Ltd,3.8,IT Services & Consulting,Gurgaon / Gurugram,13,Work Life Balance,"Job Security, Promotions / Appraisal",107,494,8,4,5
9800,PVR PROJECTS,3.6,Engineering & Construction,Hyderabad / Secunderabad,9,Salary & Benefits,"Job Security, Promotions / Appraisal, Skill Development / Learning",107,413,12,1,10
9801,Eminent Minds Technologies,4.0,BPO,Bangalore / Bengaluru,4,"Skill Development / Learning, Company Culture, Work Life Balance",,107,13,1,--,26
9802,Ansal Housing & Construction,4.3,Real Estate,New Delhi,12,"Job Security, Work Life Balance, Work Satisfaction",,107,430,8,3,12
9803,Anonymous Content,4.1,Pune +19 other locations,,0,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,107,198,43,--,4
9804,BG LIIN Electrical,3.7,Aurangabad +5 other locations,,0,"Promotions / Appraisal, Salary & Benefits, Company Culture",,107,416,4,--,11
9805,SS Construction,4.0,Engineering & Construction,New Delhi,27,"Work Life Balance, Work Satisfaction, Company Culture",,107,728,2,1,12
