,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
1733,Central Reserve Police Force,4.6,Government,New Delhi,96,"Job Security, Salary & Benefits, Company Culture",,602,1.3k,9,--,41
1734,Shriram Automall,4.0,Internet,New Delhi,107,"Job Security, Company Culture, Work Life Balance",,602,1.3k,46,--,114
1735,Suroj Buildcon,4.1,Engineering & Construction,Pune,44,"Job Security, Company Culture, Skill Development / Learning",,602,1.6k,30,3,55
1736,UKB Electronics Limited,3.7,Electronics Manufacturing,Noida,23,"Company Culture, Work Satisfaction, Job Security",,602,2.2k,48,1,94
1737,Jain Irrigation Systems,3.8,Agriculture,Jalgaon,90,Job Security,"Promotions / Appraisal, Salary & Benefits",601,1.9k,31,--,50
1738,Family Health Plan,3.8,Insurance,Hyderabad / Secunderabad,37,"Promotions / Appraisal, Salary & Benefits",,602,2k,44,4,34
1739,Kaizen IT Services,4.0,IT Services & Consulting,Kolkata,89,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,601,1.2k,34,8,18
1740,Carnival Cruise Lines,4.2,Sports & Recreation,Mumbai,31,"Company Culture, Job Security, Skill Development / Learning",,601,691,21,--,77
1741,Nucleus Software Exports,3.4,Software Product,Noida,12,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",600,4.3k,46,19,74
1742,ThoughtWorks,3.9,IT Services & Consulting,Bangalore / Bengaluru,11,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,600,6.5k,168,11,48
1743,Global Healthcare Billing Partners,3.4,BPO,Chennai,14,"Promotions / Appraisal, Company Culture, Work Satisfaction",,601,3.5k,42,113,14
1744,Royaloak Incorporation,3.7,Furniture & Furnishing,Bangalore / Bengaluru,48,"Job Security, Company Culture, Promotions / Appraisal",,600,1.5k,38,23,13
1745,Royal Caribbean International,4.2,Sports & Recreation,Mumbai,24,"Salary & Benefits, Company Culture, Skill Development / Learning",,600,740,29,--,64
1746,Bridge & Roof Co,3.5,Engineering & Construction,Kolkata,65,"Promotions / Appraisal, Company Culture, Work Life Balance",,599,2.6k,26,--,102
1747,Ongc Petro Additions,4.0,Petrochemicals,Bharuch,30,"Job Security, Work Life Balance, Company Culture",,599,3.3k,34,--,76
1748,Sl Lumax,3.5,Auto Components,Chennai,16,"Work Life Balance, Promotions / Appraisal, Company Culture",,599,2.4k,28,2,88
1749,TDS Lithium-Ion Battery,4.2,Auto Components,Ahmedabad,20,"Company Culture, Work Life Balance, Skill Development / Learning",,598,2k,92,--,27
1750,Agrostar,3.9,Internet,Pune,49,"Company Culture, Skill Development / Learning",Job Security,600,1.5k,61,19,66
1751,ITC Limited Foods Division,3.9,Food Processing,Bangalore / Bengaluru,75,Job Security,"Promotions / Appraisal, Salary & Benefits",598,1.9k,65,--,67
1752,Kajaria Ceramics,3.8,Building Material,New Delhi,81,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",597,2k,30,1,50
1753,Sintex Industries,4.0,Industrial Machinery,Ahmedabad,58,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,597,2k,24,2,54
1754,Holiday Inn,4.1,Hospitality,New Delhi,61,"Job Security, Company Culture, Work Life Balance",,597,1.3k,16,--,73
1755,Becton Dickinson,4.0,Medical Equipment,Bangalore / Bengaluru,36,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,597,3.3k,35,89,46
1756,Grab A Grub Services,3.9,Logistics,Mumbai,112,"Job Security, Promotions / Appraisal",,597,1.9k,35,1,30
1757,Sudarshan Chemical Industries,3.9,Chemicals,Roha,26,Skill Development / Learning,Promotions / Appraisal,597,2.6k,33,8,47
1758,Einfochips,3.5,IT Services & Consulting,Ahmedabad,13,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,596,3.7k,75,58,52
1759,Super Smelters,3.8,Iron & Steel,Asansol,25,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",596,2k,40,3,43
1760,Monte Carlo,4.2,Fashion & Textile,Ahmedabad,102,"Work Life Balance, Salary & Benefits, Company Culture",,596,2.4k,31,--,44
1761,National Stock Exchange of India,3.6,Financial Services,Mumbai,33,Job Security,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",597,4.3k,54,6,34
1762,Fiem Industries,3.6,Auto Components,Hosur,28,Salary & Benefits,"Job Security, Company Culture, Promotions / Appraisal",595,2.6k,26,--,52
1763,IRB Infrastructure,3.9,Engineering & Construction,Mumbai,70,Work Life Balance,Promotions / Appraisal,596,1.4k,28,27,58
1764,Godrej Industries,4.0,Chemicals,Mumbai,68,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,595,2.8k,56,141,63
1765,GlobalData,3.3,Analytics & KPO,Hyderabad / Secunderabad,14,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,594,3.5k,62,6,57
1766,Renovision Automation Services,3.3,IT Services & Consulting,New Delhi,70,"Promotions / Appraisal, Salary & Benefits, Company Culture",,594,1.8k,23,58,41
1767,Annalect,3.4,Marketing & Advertising,Bangalore / Bengaluru,13,"Promotions / Appraisal, Job Security, Work Satisfaction",,593,4k,81,33,17
1768,Kellogg,4.2,FMCG,Mumbai,86,"Company Culture, Work Life Balance, Job Security",,593,2.2k,30,--,74
1769,EaseMyTrip.com,4.0,Internet,New Delhi,8,"Work Life Balance, Work Satisfaction, Job Security",,593,1.4k,59,70,216
1770,Gestamp,3.6,Auto Components,Pune,13,"Promotions / Appraisal, Company Culture, Work Satisfaction",,593,2.1k,22,2,65
1771,Finolex Industries,3.6,Building Material,Pune,72,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,590,2.3k,47,1,22
1772,Chaitanya India Fin Credit,4.0,NBFC,Bangalore / Bengaluru,164,"Company Culture, Work Life Balance, Skill Development / Learning",,592,1.4k,35,3,25
1773,BMC Software,4.1,Software Product,Pune,10,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,591,3.8k,52,77,78
1774,Mavenir Systems,3.3,IT Services & Consulting,Bangalore / Bengaluru,19,"Promotions / Appraisal, Job Security, Company Culture",,591,3.5k,61,1,47
1775,IDBI Intech Limited,3.2,IT Services & Consulting,Mumbai,28,"Promotions / Appraisal, Salary & Benefits, Company Culture",,591,2.9k,51,2,46
1776,Sasken,3.6,IT Services & Consulting,Bangalore / Bengaluru,12,"Promotions / Appraisal, Job Security, Work Satisfaction",,592,4k,89,33,49
1777,Excitel Broadband,3.6,Telecom,New Delhi,44,"Promotions / Appraisal, Job Security, Company Culture",,591,1.9k,55,2,28
1778,Serum Institute of India,4.2,Biotechnology,Pune,26,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,590,3.1k,40,--,57
1779,Revolut,2.6,FinTech,Bangalore / Bengaluru,20,Salary & Benefits,"Job Security, Work Satisfaction, Company Culture",589,2.5k,113,--,1
1780,Finastra,3.7,Software Product,Bangalore / Bengaluru,13,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",588,4.4k,56,29,71
1781,Finova Capital,3.9,NBFC,Jaipur,178,Salary & Benefits,,588,1.4k,24,2,20
1782,AVTEC,3.5,Auto Components,Hosur,25,"Job Security, Promotions / Appraisal, Salary & Benefits",,588,2.1k,26,8,56
1783,Wissen Technology,3.8,IT Services & Consulting,Bangalore / Bengaluru,8,Promotions / Appraisal,,588,4.6k,187,96,65
1784,bp,3.7,Oil & Gas,Pune,13,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",587,3.6k,81,27,22
1785,Coal India,4.0,Metals & Mining,Kolkata,62,"Job Security, Salary & Benefits, Work Life Balance",,587,1.8k,50,--,68
1786,Saudi Aramco,4.5,Oil & Gas,Mumbai,36,"Company Culture, Work Life Balance, Salary & Benefits",,587,1.4k,58,--,80
1787,Aster Dm Healthcare,3.7,Healthcare,Bangalore / Bengaluru,40,"Promotions / Appraisal, Company Culture, Work Satisfaction",,587,2.7k,50,137,34
1788,Cyfuture,3.0,IT Services & Consulting,Noida,37,"Promotions / Appraisal, Salary & Benefits, Job Security",,586,2.6k,108,33,73
1789,SOLAR INDUSTRIES INDIA,3.7,Defence & Aerospace,Nagpur,40,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",586,2.8k,68,4,43
1790,VDA Infosolutions,3.9,IT Services & Consulting,Pune,36,"Work Life Balance, Job Security",Promotions / Appraisal,584,1.9k,53,3,25
1791,Ferrero,3.9,Food Processing,Pune,97,"Salary & Benefits, Skill Development / Learning, Job Security",,585,1.9k,29,8,63
1792,CSG International,3.5,IT Services & Consulting,Bangalore / Bengaluru,13,"Promotions / Appraisal, Job Security, Skill Development / Learning",,584,4k,57,--,46
1793,BT E Serv,4.0,BPO,Kolkata,6,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,584,2.6k,52,--,132
1794,Blackberrys,3.8,Fashion & Textile,Gurgaon / Gurugram,90,"Job Security, Promotions / Appraisal",,584,1.8k,31,11,49
1795,Medcode,4.1,IT Services & Consulting,Hyderabad / Secunderabad,10,"Skill Development / Learning, Company Culture, Work Satisfaction",,583,319,11,8,7
1796,Medley Pharmaceuticals,3.9,Pharma,Mumbai,76,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",583,1.7k,37,10,41
1797,Schwing Stetter,3.9,Industrial Machinery,Chennai,44,Job Security,Promotions / Appraisal,582,2.3k,44,108,49
1798,Jubilant Generics,3.9,Pharma,Roorkee,25,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security",582,2.3k,20,--,69
1799,Affinity Express,2.8,Marketing & Advertising,Pune,12,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,581,2.5k,37,--,41
1800,Vedanta Limited,3.8,Metals & Mining,Lanjigarh,51,Salary & Benefits,"Work Life Balance, Promotions / Appraisal",581,2.6k,51,--,47
1801,Kirloskar Ferrous Industries,3.7,Iron & Steel,Koppal,22,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",581,1.9k,31,2,31
1802,Jayaswal Neco Industries,4.0,Iron & Steel,Raipur,29,"Job Security, Work Life Balance, Skill Development / Learning",,581,2k,35,--,47
1803,Quest Retail Private Limited,4.1,Retail,Gurgaon / Gurugram,63,"Skill Development / Learning, Company Culture, Work Life Balance",,581,917,15,--,244
1804,Micromax Informatics,3.7,Consumer Electronics & Appliances,New Delhi,118,"Promotions / Appraisal, Job Security, Company Culture",,580,1.3k,22,--,95
1805,Vedang Cellular Services,3.9,Telecom,Mumbai,67,Salary & Benefits,"Job Security, Promotions / Appraisal",580,1.7k,28,1,35
1806,Maxicus,4.0,BPO,Vadodara,15,"Company Culture, Work Life Balance, Work Satisfaction",,580,668,131,12,76
1807,Hamilton Housewares,3.8,Consumer Electronics & Appliances,Mumbai,49,Promotions / Appraisal,,581,2.5k,39,6,30
1808,Inspira Enterprise India Limited,3.6,IT Services & Consulting,Mumbai,35,"Promotions / Appraisal, Company Culture, Work Satisfaction",,580,3.4k,50,10,39
1809,Vadilal Industries,4.1,FMCG,Ahmedabad,85,"Work Life Balance, Job Security, Company Culture",,578,1.7k,35,19,64
1810,United Colors of Benetton,4.3,Fashion & Textile,Gurgaon / Gurugram,71,"Company Culture, Skill Development / Learning, Work Life Balance",,578,1.3k,23,--,68
1811,Toyoda Gosei Minda,4.1,Auto Components,Neemrana,25,"Job Security, Company Culture, Work Life Balance",,577,1.7k,31,--,52
1812,Sigma Engineered Solutions,3.9,Industrial Machinery,Pune,13,"Company Culture, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",577,2.3k,29,--,15
1813,InsuranceDekho,3.5,Internet,Gurgaon / Gurugram,79,"Promotions / Appraisal, Job Security, Work Life Balance",,578,2k,79,24,7
1814,Bharat Biotech International,3.2,Biotechnology,Hyderabad / Secunderabad,30,"Promotions / Appraisal, Company Culture, Work Satisfaction",,576,2.1k,61,4,37
1815,HLL Lifecare,3.7,Healthcare,Thiruvananthapuram,115,"Promotions / Appraisal, Salary & Benefits, Job Security",,576,1.7k,44,12,40
1816,Cashify,3.8,Internet,Gurgaon / Gurugram,55,"Job Security, Promotions / Appraisal",,576,2.4k,48,18,35
1817,Hpl Electric & Power,3.7,Electrical Equipment,Gurgaon / Gurugram,67,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,576,2.1k,65,1,23
1818,IDP Education Limited,3.6,Education & Training,Chennai,48,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",576,2.5k,67,16,48
1819,Jindal Poly Films,3.6,Packaging,Nashik,18,"Promotions / Appraisal, Company Culture, Job Security",,575,2.4k,39,1,52
1820,Ofbusiness,3.0,Internet,Gurgaon / Gurugram,40,"Job Security, Work Life Balance, Company Culture",,575,2.4k,50,22,19
1821,IKEA,4.0,Retail,Bangalore / Bengaluru,23,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,574,2.1k,46,--,55
1822,GAMMON INDIA,3.7,Engineering & Construction,Mumbai,71,"Company Culture, Skill Development / Learning",,574,1.1k,31,--,75
1823,Efs Facilities Services,3.7,Facility Management Services,New Delhi,59,"Promotions / Appraisal, Salary & Benefits",,576,1.3k,29,15,57
1824,DHL Global Forwarding,4.0,Logistics,Chennai,21,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,574,3.1k,39,3,74
1825,Jubilant Agri and Consumer Products,4.0,Chemicals,Gurgaon / Gurugram,111,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,573,1.8k,36,--,29
1826,Hilton,4.2,Hospitality,Bangalore / Bengaluru,40,"Company Culture, Work Life Balance, Job Security",,573,1.5k,25,300,67
1827,BEML,3.8,Industrial Machinery,Bangalore / Bengaluru,37,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",573,1.6k,28,--,59
1828,Matrimonialsindia,4.9,Internet,New Delhi,0,"Company Culture, Work Life Balance, Work Satisfaction",,572,117,13,8,6
1829,WayCool Foods and Products,3.4,FMCG,Chennai,43,"Job Security, Promotions / Appraisal, Company Culture",,572,2.8k,42,--,34
1830,EdgeVerve Systems,3.3,Software Product,Bangalore / Bengaluru,14,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",572,3.9k,67,55,69
1831,Action Tesa,3.8,Building Material,Sitarganj,58,Job Security,Promotions / Appraisal,572,1.3k,43,16,11
1832,AVEVA,4.0,Software Product,Hyderabad / Secunderabad,14,"Work Life Balance, Company Culture",Promotions / Appraisal,572,1.8k,30,59,306
1833,DealShare,3.5,Internet,Bangalore / Bengaluru,44,"Job Security, Promotions / Appraisal, Company Culture",,575,2.5k,41,--,35
1834,Heidelberg Cement,4.1,Building Material,Damoh,77,"Work Life Balance, Job Security, Company Culture",,572,1.9k,35,1,40
1835,HBL Power Systems,4.0,Electrical Equipment,Hyderabad / Secunderabad,51,Work Life Balance,Promotions / Appraisal,570,2.1k,32,14,53
1836,Nspira Management Services,3.7,BPO,Hyderabad / Secunderabad,57,"Promotions / Appraisal, Company Culture, Work Satisfaction",,567,2.4k,34,13,23
1837,SoftAge Information Technology,3.6,IT Services & Consulting,Gurgaon / Gurugram,129,"Promotions / Appraisal, Job Security",,568,882,22,7,66
1838,Amway India Enterprises,4.0,Fitness & Wellness,Gurgaon / Gurugram,80,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,568,2.1k,16,5,84
1839,Mrs Bector's Food Specialities,3.9,Food Processing,Greater Noida,81,Salary & Benefits,Promotions / Appraisal,568,1.7k,28,10,33
1840,Consulting Engineers Group,4.1,Engineering & Construction,Jaipur,70,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,567,1.6k,45,6,37
1841,Axiscades,3.0,IT Services & Consulting,Bangalore / Bengaluru,12,"Promotions / Appraisal, Salary & Benefits, Company Culture",,566,3.7k,60,1,31
1842,Maharashtra State Electricity Distribution Company,4.2,Power,Pune,89,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,566,1.1k,23,--,42
1843,NLC India Limited,4.4,Metals & Mining,Neyveli,26,"Work Life Balance, Job Security, Work Satisfaction",,566,1.2k,28,--,23
1844,TSYS|Total System Services,4.1,Financial Services,Pune,10,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,566,4.1k,65,--,10
1845,Nippon Life India Asset Management,4.5,Financial Services,Mumbai,150,"Work Life Balance, Company Culture, Job Security",,566,1.5k,43,101,21
1846,PTC,4.2,Software Product,Pune,41,"Work Life Balance, Company Culture, Job Security",,567,3.9k,68,93,56
1847,Toothsi,2.7,Internet,Mumbai,19,"Job Security, Promotions / Appraisal, Company Culture",,565,2.2k,64,2,21
1848,Anmol Industries,3.9,FMCG,Kolkata,87,Work Life Balance,Promotions / Appraisal,565,1.7k,61,--,48
1849,Cvent,3.2,Software Product,Gurgaon / Gurugram,8,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,566,4.4k,100,183,55
1850,Wood Group,3.8,Engineering & Construction,Chennai,30,"Salary & Benefits, Work Life Balance",Promotions / Appraisal,565,2.7k,64,4,25
1851,Crystal Crop Protection,3.8,Agro Chemicals,New Delhi,88,Promotions / Appraisal,,565,1.8k,24,--,43
1852,ABIS Exports,3.8,Food Processing,Rajnandgaon,116,Promotions / Appraisal,,562,1.8k,44,--,20
1853,Dishman Carbogen Amcis,3.6,Ahmedabad +14 other locations,,0,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",562,2.1k,34,15,28
1854,Blackrock,3.5,Financial Services,Gurgaon / Gurugram,18,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,562,6.3k,117,--,62
1855,Army Public School,4.0,Education & Training,New Delhi,93,"Skill Development / Learning, Salary & Benefits","Job Security, Promotions / Appraisal",562,1.1k,41,--,54
1856,Sapiens,3.2,Software Product,Bangalore / Bengaluru,8,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,562,5.1k,65,9,64
1857,Perficient,3.7,IT Services & Consulting,Chennai,11,Work Life Balance,"Promotions / Appraisal, Job Security",561,4.3k,44,8,31
1858,Rane (Madras) Limited - Engine Components Division,3.8,Auto Components,Chennai,17,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",561,1.9k,31,--,58
1859,AVIOM,4.0,NBFC,New Delhi,189,"Work Life Balance, Salary & Benefits, Work Satisfaction",,561,1.2k,31,1,14
1860,Accion Labs,3.5,IT Services & Consulting,Bangalore / Bengaluru,13,"Promotions / Appraisal, Job Security, Work Satisfaction",,560,4.7k,80,53,43
1861,United Spirits,4.2,Beverage,Bangalore / Bengaluru,97,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal,560,1.5k,14,4,70
1862,Pamac Finserve,3.2,BPO,Mumbai,59,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,561,1.6k,28,1,25
1863,Courtyard by Marriott,4.1,Hospitality,Mumbai,41,"Job Security, Company Culture, Skill Development / Learning",,560,1.1k,23,--,84
1864,Pathkind Diagnostics Private Limited,3.9,Healthcare,New Delhi,96,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,558,1.8k,49,7,48
1865,Gandhi Automations,3.9,Industrial Machinery,Mumbai,23,"Salary & Benefits, Job Security, Promotions / Appraisal",,558,1.3k,37,15,101
1866,Myk Laticrete,3.9,Building Material,Hyderabad / Secunderabad,83,"Salary & Benefits, Work Life Balance, Job Security",,559,2k,25,31,27
1867,Pinnacle Infotech,3.4,IT Services & Consulting,Durgapur,18,"Company Culture, Work Life Balance, Work Satisfaction",,557,2.8k,59,26,56
1868,J K Fenner,3.9,Engineering & Construction,Chennai,56,Promotions / Appraisal,,557,1.9k,34,6,46
1869,APL Apollo Tubes,4.0,Iron & Steel,Raipur,48,"Skill Development / Learning, Salary & Benefits, Company Culture",,557,1.9k,44,6,21
1870,BAXY,4.1,Auto Components,Bhiwadi,38,"Work Life Balance, Salary & Benefits, Work Satisfaction",,558,2k,23,--,47
1871,PayU Payments,3.4,FinTech,Gurgaon / Gurugram,22,"Promotions / Appraisal, Job Security, Work Satisfaction",,556,4.1k,63,123,49
1872,Baker Hughes,4.1,Oil & Gas,Bangalore / Bengaluru,38,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,556,4k,65,48,58
1873,Dr. Reddy's Foundation,3.7,Non-Profit,Hyderabad / Secunderabad,88,Promotions / Appraisal,,557,1.7k,54,16,75
1874,Genesys International Corporation,3.5,IT Services & Consulting,Mumbai,16,"Promotions / Appraisal, Salary & Benefits, Company Culture",,556,2.5k,21,7,51
1875,Colt Technology Services,4.2,Hardware & Networking,Gurgaon / Gurugram,13,"Work Life Balance, Company Culture, Work Satisfaction",,558,3.1k,25,7,81
1876,PureSoftware,3.0,Software Product,Noida,11,"Job Security, Promotions / Appraisal, Skill Development / Learning",,555,3.6k,63,92,36
1877,Toyota Industries Engine India,4.3,Auto Components,Bangalore / Bengaluru,14,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,556,1.5k,31,--,67
1878,Orra Fine Jewellery,3.4,Jewellery,Mumbai,50,"Company Culture, Work Satisfaction, Promotions / Appraisal",,555,1.6k,46,38,27
1879,Hettich,3.7,Furniture & Furnishing,Mumbai,45,Job Security,Promotions / Appraisal,554,2.3k,37,15,36
1880,Lear Corporation,4.0,Auto Components,Pune,19,"Work Life Balance, Company Culture",Promotions / Appraisal,554,2.9k,23,7,66
1881,Applied Materials,3.7,Semiconductors,Bangalore / Bengaluru,11,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,554,4.5k,86,178,59
1882,Apitoria Pharma,4.2,Pharma,Hyderabad / Secunderabad,12,"Job Security, Work Life Balance, Company Culture",,553,684,36,4,18
1883,McCain Foods,4.1,FMCG,Mehsana,72,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal,553,1.6k,36,2,47
1884,Levi Strauss & Co.,4.3,Fashion & Textile,Bangalore / Bengaluru,80,"Company Culture, Work Life Balance, Work Satisfaction",,553,1.9k,28,22,65
1885,Capital Numbers Infotech,4.2,IT Services & Consulting,Kolkata,10,"Work Life Balance, Company Culture, Work Satisfaction",,553,1.1k,45,29,86
1886,Belstar Microfinance,4.0,NBFC,Chennai,204,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,553,1.4k,39,--,9
1887,Damco Solutions,3.6,IT Services & Consulting,Noida,23,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,552,2k,42,31,21
1888,Eli Lilly and Company,3.5,Pharma,Bangalore / Bengaluru,18,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,552,4.4k,80,76,62
1889,Ascent HR Technologies Private Limited,3.6,Software Product,Bangalore / Bengaluru,15,"Promotions / Appraisal, Salary & Benefits, Company Culture",,551,1.7k,35,6,19
1890,Transport Corporation Of India,3.8,Logistics,Gurgaon / Gurugram,82,Job Security,Salary & Benefits,552,1.8k,36,--,60
1891,Herbalife International,4.0,Healthcare,Bangalore / Bengaluru,84,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,551,2.5k,29,20,47
1892,General Motors,4.1,Automobile,Pune,37,"Company Culture, Work Life Balance, Skill Development / Learning",,550,2.1k,34,1,86
1893,Expleo Group,3.4,IT Services & Consulting,Pune,9,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,550,5.4k,45,27,22
1894,Voyants Solutions,3.8,Engineering & Construction,Gurgaon / Gurugram,89,"Promotions / Appraisal, Job Security",,549,1.6k,56,110,29
1895,Aurionpro Solutions,3.5,Software Product,Mumbai,48,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,549,3.4k,34,12,31
1896,Gayatri Projects,4.0,Engineering & Construction,Hyderabad / Secunderabad,71,"Promotions / Appraisal, Salary & Benefits",,549,1.8k,39,6,78
1897,Allianz Services,4.2,Insurance,Thiruvananthapuram,12,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal",548,2.3k,30,17,48
1898,Bajaj Consumer Care,3.8,FMCG,Mumbai,111,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,549,1.4k,33,4,43
1899,Solara Active Pharma Sciences,3.7,Pharma,Visakhapatnam,18,"Promotions / Appraisal, Company Culture, Work Satisfaction",,548,2.8k,43,--,55
1900,Prochant,3.9,Analytics & KPO,Chennai,9,"Work Life Balance, Job Security, Skill Development / Learning",,547,2.1k,66,39,33
1901,BDO RISE Private Limited,3.6,Accounting & Auditing,Bangalore / Bengaluru,9,"Promotions / Appraisal, Salary & Benefits",,547,2.5k,63,18,7
1902,Wabtec,3.9,Auto Components,Bangalore / Bengaluru,27,"Job Security, Work Life Balance",Promotions / Appraisal,547,3.2k,55,--,31
1903,Jyothy Laboratories,4.2,FMCG,Mumbai,127,"Job Security, Salary & Benefits, Company Culture",,546,1.4k,28,16,72
1904,Sterling Oil Exploration & Energy Production,3.6,Oil & Gas,Lagos,21,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,546,1.2k,66,3,25
1905,Unimoni,3.9,FinTech,Chennai,134,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,545,2.1k,18,2,26
1906,Inox Wind,3.8,Power,Noida,41,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",545,1.8k,46,--,69
1907,The Saraswat Co-operative Bank,3.2,Banking,Mumbai,34,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,545,2.8k,25,3,25
1908,Western Refrigeration,3.8,Industrial Machinery,Vapi,40,"Job Security, Salary & Benefits","Company Culture, Work Life Balance",546,2.2k,40,5,37
1909,Paras Dairy,3.5,Food Processing,New Delhi,59,"Job Security, Promotions / Appraisal, Company Culture",,545,1.6k,27,1,50
1910,Practo,3.0,Internet,Bangalore / Bengaluru,24,"Job Security, Promotions / Appraisal, Work Satisfaction",,546,2.9k,79,56,63
1911,Congruex Asia Pacific,3.7,Engineering & Construction,Mohali,24,"Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",545,2.2k,65,1,38
1912,Empower,4.0,Financial Services,Bangalore / Bengaluru,12,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,545,3.9k,57,18,39
1913,Lulu International Shopping Mall,3.8,Retail,Lucknow,40,Job Security,"Promotions / Appraisal, Salary & Benefits",546,2.3k,41,--,20
1914,Dhani Healthcare,3.5,FinTech,Gurgaon / Gurugram,81,"Job Security, Promotions / Appraisal, Company Culture",,544,2.3k,59,--,55
1915,Bharti Infratel,4.6,Telecom,Gurgaon / Gurugram,72,"Company Culture, Work Satisfaction, Skill Development / Learning",,543,1.1k,6,--,73
1916,Utility Powertech,3.8,Power,New Delhi,92,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",543,1.8k,30,--,36
1917,DB Schenker,4.3,Logistics,Gurgaon / Gurugram,39,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,543,2.2k,23,--,48
1918,L & W Constructions,3.8,Engineering & Construction,Bangalore / Bengaluru,19,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,543,1.8k,27,--,42
1919,Innominds Software,3.3,IT Services & Consulting,Hyderabad / Secunderabad,7,"Promotions / Appraisal, Job Security, Company Culture",,542,4.5k,48,27,31
1920,Innominds Software,3.3,IT Services & Consulting,Hyderabad / Secunderabad,7,"Promotions / Appraisal, Job Security, Company Culture",,542,4.5k,48,27,31
1921,Telenor,4.2,Telecom,Gurgaon / Gurugram,117,"Work Life Balance, Company Culture, Work Satisfaction",,541,580,9,--,106
1922,Vestige,4.2,Fitness & Wellness,New Delhi,113,"Company Culture, Skill Development / Learning, Work Life Balance",,541,1.4k,40,--,80
